37: ('LOAD_CONST', 'LOAD_DEREF')
37: ('CALL_METHOD', 'UNARY_NOT')
37: ('CALL_METHOD', 'LOAD_ATTR')
36: ('BINARY_MULTIPLY', 'BINARY_ADD')
36: ('BINARY_MULTIPLY', 'LOAD_FAST')
36: ('BINARY_MULTIPLY', 'CALL_METHOD')
36: ('BINARY_SUBSCR', 'BINARY_MULTIPLY')
36: ('LOAD_FAST', 'BINARY_MULTIPLY')
35: ('BINARY_SUBSCR', 'POP_BLOCK')
35: ('CONTAINS_OP', 'YIELD_VALUE')
34: ('DELETE_SUBSCR', 'JUMP_FORWARD')
34: ('LOAD_NAME', 'STORE_SUBSCR')
